sa1,pop
1100701,254
1100702,382
1100703,425
1100704,440
1100705,397
1100706,252
1100707,362
1100708,460
1100709,375
1100710,515
1100801,385
1100802,558
1100803,373
1100804,408
1100805,257
1100806,385
1100807,437
1100808,510
1100809,0
1100810,274
1100811,350
1100812,259
1100813,443
1100814,481
1100815,466
1100816,439
1100817,285
1100818,267
1100819,476
1100820,296
1100821,469
1100822,233
1100823,209
1100901,239
1100902,346
1100904,351
1100905,414
1100907,461
1100908,519
1100909,589
1100910,502
1100911,399
1100912,276
1100913,613
1100914,430
1100915,735
1100916,486
1100917,228
1100918,519
1100919,515
1100920,404
1100921,436
1100923,445
1100924,15
1100925,472
1100926,262
1100927,298
1100928,355
1100929,536
1101001,146
1101002,362
1101003,323
1101004,305
1101006,481
1101007,276
1101008,472
1101009,375
1101010,393
1101011,26
1101012,94
1101013,0
1101014,159
1101015,603
1101016,415
1101017,360
1101101,623
1101102,243
1101103,329
1101104,533
1101105,494
1101106,374
1101107,351
1101108,450
1101109,341
1101110,188
1101111,461
1101112,206
1101113,145
1101115,377
1101116,336
1101117,291
1101118,432
1101119,304
1101120,507
1101122,294
1101123,210
1101125,571
1101126,449
1101127,349
1101128,255
1101129,406
1101130,623
1101131,212
1101132,277
1101133,323
1101134,268
1101135,345
1101136,325
1101137,346
1101139,237
1101140,358
1101141,564
1101142,303
1101143,256
1101144,246
1101145,472
1101146,302
1101147,396
1101148,301
1101149,325
1101150,365
1101151,125
1101152,472
1101201,204
1101202,269
1101203,582
1101204,373
1101205,324
1101206,384
1101207,221
1101208,423
1101209,779
1101210,454
1101211,626
1101212,330
1101213,521
1101214,532
1101215,447
1101216,321
1101217,35
1101218,491
1101219,588
1101220,475
1101221,326
1101222,560
1101223,581
1101224,535
1101225,0
1101226,0
1101227,413
1101228,397
1101229,442
1101230,235
1101231,330
1101232,455
1101301,279
1101302,478
1101303,296
1101304,434
1101305,261
1101306,150
1101307,315
1101308,192
1101401,267
1101402,375
1101403,403
1101404,448
1101405,400
1101406,492
1101407,431
1101408,218
1101409,400
1101410,375
1101411,553
1101412,562
1101413,324
1101414,173
1101415,475
1101417,26
1101418,362
1101419,466
1101501,0
1101502,9
1101503,230
1101505,86
1101511,204
1101512,146
1101514,178
1101515,259
1101516,151
1101517,172
1101518,287
1101519,322
1101520,153
1101521,324
1101522,348
1101523,190
1101524,223
1101601,104
1101602,438
1101603,283
1101604,215
1101605,241
1101606,487
1101607,205
1101608,311
1101609,300
1101610,782
1101611,390
1101612,72
1101613,228
1101614,357
1101615,362
1101616,435
1101617,416
1101618,606
1101619,517
1101620,203
1101701,600
1101702,253
1101703,396
1101704,421
1101705,238
1101706,496
1101707,3
1101708,343
1101709,661
1101710,522
1101711,311
1101712,524
1101713,389
1101714,0
1101715,0
1101716,457
1101717,249
1101718,375
1101719,369
1101720,244
1101721,355
1101722,486
1101801,318
1101802,285
1101803,373
1101804,165
1101805,289
1101806,445
1101807,440
1101808,514
1101809,340
1101810,312
1101811,319
1101812,416
1101813,274
1101814,259
1101815,315
1101816,383
1101817,640
1101818,495
1101819,406
1101820,294
1101821,188
1101822,454
1101823,440
1101824,0
1101901,479
1101902,439
1101903,255
1101904,420
1101905,401
1101906,452
1101907,330
1101909,308
1101911,406
1101912,382
1101913,425
1101914,712
1101915,211
1101916,521
1101917,731
1101918,283
1101919,268
1101920,298
1101921,283
1101922,335
1101923,486
1102001,437
1102002,521
1102003,395
1102004,335
1102005,284
1102006,331
1102007,356
1102008,355
1102009,12
1102010,0
1102011,329
1102012,0
1102013,167
1102014,240
1102015,193
1102016,258
1102017,239
1102018,405
1102019,282
1102020,500
1102021,0
1102022,319
1102023,309
1102024,251
